created_at,tweet_text,cleaned_text,sentiment_score
2023-04-18 23:50:40+00:00,"Does $AAPL want to be bank?

It's starting to look like it with the launch of

ðŸ’µApple Cash
ðŸ’³Apple Card
â­Apple Pay Later
ðŸ›ŸSavings Accounts
ðŸ‘›Wallet
ðŸ“±Apple Pay

And now Tap to Pay for merchants!

With 1.8 billion active iPhone users, will $AAPL be a threat to banks?","does $aapl want to be bank?

it's starting to look like it with the launch of

ðÿ’µapple cash
ðÿ’³apple card
â­apple pay later
ðÿ›ÿsavings accounts
ðÿ‘›wallet
ðÿ“±apple pay

and now tap to pay for merchants!

with 1.8 billion active iphone users, will $aapl be a threat to banks?",-0.1906
2023-04-18 23:41:38+00:00,"The current market cap of Apple Inc. [$AAPL] is $2,633.87B at $166.47/share.
In the past six months, $AAPL has jumped up +16.55%. 
Has it peaked? 
$NFLX $GS $BAC $JNJ $META $NVDA
    &gt;&gt;&gt;Finance Bot&lt;&lt;&lt; (LIKE/FOLLOW!!!)
https://t.co/fXtEVyTTSb","the current market cap of apple inc. [$aapl] is $2,633.87b at $166.47/share.
in the past six months, $aapl has jumped up +16.55%. 
has it peaked? 
$nflx $gs $bac $jnj $meta $nvda
    &gt;&gt;&gt;finance bot&lt;&lt;&lt; (like/follow!!!)
",0.0
2023-04-18 23:36:11+00:00,"Your thoughts on the Goldman ðŸ“ˆ bull case via $AAPL new 4% savings plan? It could not be any easier to move money from X bank to Goldman via the Apple Savings plan...moreover, why wouldn't you?  Seems like easy money for Goldman... $GS Why earn .25% at $JPM if $GS gives you 4%? https://t.co/wUAQc6UQf3","your thoughts on the goldman ðÿ“ˆ bull case via $aapl new 4% savings plan? it could not be any easier to move money from x bank to goldman via the apple savings plan...moreover, why wouldn't you?  seems like easy money for goldman... $gs why earn .25% at $jpm if $gs gives you 4%? ",-0.2691
2023-04-18 23:31:54+00:00,"Apple Considered iPhone 15 With Lightning Port Before Swapping to USB-C - MacRumors
$AAPL
#Ainvest #Ainvest_Wire #Investing #Markets #investors 
View more: https://t.co/RoG3eimLUj https://t.co/KTS00mTBDb","apple considered iphone 15 with lightning port before swapping to usb-c - macrumors
$aapl
ainvest ainvest_wire investing markets investors 
view more:  ",0.0
2023-04-18 23:30:40+00:00,"Apple reportedly working on a 'trove' of software, services for its mixed-reality headset https://t.co/5CApGs2sPx $AAPL","apple reportedly working on a 'trove' of software, services for its mixed-reality headset  $aapl",0.0
2023-04-18 23:30:38+00:00,Apple's iOS 17 and iPadOS 17 to support sideloading apps for iPhone and iPad https://t.co/sL4ITUxpyK $AAPL https://t.co/WFsRx2ISsM,apple's ios 17 and ipados 17 to support sideloading apps for iphone and ipad  $aapl ,0.4019
2023-04-18 23:19:36+00:00,"Rates offering on savings accounts:

Wells Fargo 0.15% $WFC

Chase 0.01% $JPM

Bank of America 0.01% $BAC

Apple 4.15% $AAPL","rates offering on savings accounts:

wells fargo 0.15% $wfc

chase 0.01% $jpm

bank of america 0.01% $bac

apple 4.15% $aapl",0.25
2023-04-18 23:14:35+00:00,"$AAPL Why India is so important to Apple

https://t.co/qUAu4CbVTW","$aapl why india is so important to apple

",0.3327
2023-04-18 23:14:22+00:00,"$AAPL is already in weekly BUY on our system &amp; is now closing in on a 2-weekly BUY which would be significant.

Chart - above the band ""In Buy"" below ""in Sell"" #trading #investing #stocks #fintech #Apple https://t.co/W69kdWW47i","$aapl is already in weekly buy on our system &amp; is now closing in on a 2-weekly buy which would be significant.

chart - above the band ""in buy"" below ""in sell"" trading investing stocks fintech apple ",0.2023
2023-04-18 23:02:24+00:00,$AAPL Apple Inc price at close today is $166.47  #aapl #applestock #nasdaq https://t.co/c7UnC6rrvn,$aapl apple inc price at close today is $166.47  aapl applestock nasdaq ,0.0
2023-04-18 23:01:07+00:00,$AAPL is nearing the top of its pretty well-defined trading channel/range. $NFX $QQQ #Apple https://t.co/DgwRbmmrEd,$aapl is nearing the top of its pretty well-defined trading channel/range. $nfx $qqq apple ,0.6124
2023-04-18 23:00:28+00:00,"#Apple $AAPL 5MinuteChart-SMAandFibonacciSupport-Resistance
Stock trading above 200 #SMA
20SMA at 166.47, 50SMA at 166.23, 200SMA at 165.24 https://t.co/tcatZkLQpV","apple $aapl 5minutechart-smaandfibonaccisupport-resistance
stock trading above 200 sma
20sma at 166.47, 50sma at 166.23, 200sma at 165.24 ",0.0
2023-04-18 22:54:13+00:00,"The senior VP and CFO of $AAPL is very concerned about the growing tensions between China and Taiwan

He doesnâ€™t think that Apple can decouple from China quick enough https://t.co/pMHArCcp2D","the senior vp and cfo of $aapl is very concerned about the growing tensions between china and taiwan

he doesnâ€™t think that apple can decouple from china quick enough ",-0.25
2023-04-18 22:54:04+00:00,"Options + Stock Alerts
Discord link below

https://t.co/rFUdY4PsgD

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL $NOVN $CHFS $AYRO  $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPCE $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/mdcen0wHls","options + stock alerts
discord link below



$apt $jakk $dynt $spv $lmnd $gnus $graf $biol $novn $chfs $ayro  $carv $spy $solo $w $jagx $ino  $byfc $tsla $spce $boxl $aapl $ayro $bngo $dkng $appl ",-0.4019
2023-04-18 22:52:49+00:00,"Apple just launched a new savings account. Why you need a high-yield savings account today
https://t.co/edoazE9Je4
More news about $AAPL on #TickerTick https://t.co/m62JCDIsJ3","apple just launched a new savings account. why you need a high-yield savings account today

more news about $aapl on tickertick ",0.128
2023-04-18 22:45:03+00:00,"#Apple $AAPL Monthwise Daily High - Low Movement Box Plot
Avg day swing for last month is 2.37
Avg day swing for last 5 months is 3.24
The #stock #chart shows current #swings &lt; prev months
Start #investing in #GlobalStocks at https://t.co/peLniHQjpl 
#Investor https://t.co/UanP67Pdak","apple $aapl monthwise daily high - low movement box plot
avg day swing for last month is 2.37
avg day swing for last 5 months is 3.24
the stock chart shows current swings &lt; prev months
start investing in globalstocks at  
investor ",-0.2732
2023-04-18 22:38:07+00:00,"What will Apple's headset do? Gaming, sports viewing, and meditation may come in the box https://t.co/B4pbKIwhtv $AAPL https://t.co/kSMG0wxrDS","what will apple's headset do? gaming, sports viewing, and meditation may come in the box  $aapl ",0.0
2023-04-18 22:38:05+00:00,"Apple Focusing on Sports, Gaming, and Fitness Apps for AR/VR Headset https://t.co/oZ8ZsLwJWj $AAPL https://t.co/hhFW0RQUE2","apple focusing on sports, gaming, and fitness apps for ar/vr headset  $aapl ",0.2732
2023-04-18 22:32:06+00:00,"$AAPL, Apple Inc., KONDO CHRIS, Officer sold shares valued at 724281 USD, date 2023-04-15,--15.11% posted 2023-04-18T18:31:39","$aapl, apple inc., kondo chris, officer sold shares valued at 724281 usd, date 2023-04-15,--15.11% posted 2023-04-18t18:31:39",0.6249
2023-04-18 22:12:47+00:00,Apple opens its first store in India as it looks for a new generation of iPhone users https://t.co/cZjRK6mEVk  $AAPL  https://t.co/6CkKYT25yy,apple opens its first store in india as it looks for a new generation of iphone users   $aapl  ,0.0
2023-04-18 22:09:40+00:00,"$AAPL $GS

Apple launches its savings account with 4.15% interest rate https://t.co/SolC1tdL4O","$aapl $gs

apple launches its savings account with 4.15% interest rate ",0.4588
2023-04-18 22:09:11+00:00,"#Apple $AAPL Daily Chart
#SuperTrend suggests #Bullish trend
#Support level at 161.98
#SmoothedHeikenAshi suggests #Bullish trend
Relative Strength Index (#RSI) in Neutral zone
Start #investing in #GlobalStocks at https://t.co/peLniHQjpl 
#Investor #Trading https://t.co/uG6ZFQpl1N","apple $aapl daily chart
supertrend suggests bullish trend
support level at 161.98
smoothedheikenashi suggests bullish trend
relative strength index (rsi) in neutral zone
start investing in globalstocks at  
investor trading ",0.7096
2023-04-18 22:03:02+00:00,"Apple $AAPL and Goldman's $GS new savings account offering 4.15% annual interest is set to shake up the banking sector. ðŸ¦

This move may lead to a further exodus of depositors from banks with low returns, highlighting the vulnerability of mid and low tier banks. ðŸ˜¬","apple $aapl and goldman's $gs new savings account offering 4.15% annual interest is set to shake up the banking sector. ðÿ¦

this move may lead to a further exodus of depositors from banks with low returns, highlighting the vulnerability of mid and low tier banks. ðÿ˜¬",-0.4215
2023-04-18 22:02:38+00:00,Apple's new high-yield Savings account is another threat to banks https://t.co/2UsPdhJsyc $AAPL https://t.co/JZioMAtbC3,apple's new high-yield savings account is another threat to banks  $aapl ,-0.5267
2023-04-18 21:52:39+00:00,"Apple HomePods can now listen for your smoke alarms
https://t.co/JEDvJpycmG
More news about $AAPL on #TickerTick https://t.co/m62JCDIsJ3","apple homepods can now listen for your smoke alarms

more news about $aapl on tickertick ",-0.2732
